source_reference_date,source_district_key,source_district_name,target_analysis_region_key,target_analysis_region_name,relationship_type,valid_from,mapping_rationale
2026-06-30,03151,Gifhorn,03151,GIFHORN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03153,Goslar,03153,GOSLAR,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03154,Helmstedt,03154,HELMSTEDT,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03155,Northeim,03155,NORTHEIM,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03157,Peine,03157,PEINE,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03158,Wolfenbüttel,03158,WOLFENBUETTEL,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03159,Göttingen,03159,GOETTINGEN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03241,Region Hannover,03241,HANNOVER,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03251,Diepholz,03251,DIEPHOLZ,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03252,Hameln-Pyrmont,03252,HAMELN-PYRMONT,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03254,Hildesheim,03254,HILDESHEIM,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03255,Holzminden,03255,HOLZMINDEN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03256,Nienburg (Weser),03256,NIENBURG(WESER),one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03257,Schaumburg,03257,SCHAUMBURG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03351,Celle,03351,CELLE,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03352,Cuxhaven,03352,CUXHAVEN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03353,Harburg,03353,HARBURG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03354,Lüchow-Dannenberg,03354,LUECHOW-DANNENBERG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03355,Lüneburg,03355,LUENEBURG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03356,Osterholz,03356,OSTERHOLZ,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03357,Rotenburg (Wümme),03357,ROTENBURG(WUEMME),one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03358,Heidekreis,03358,HEIDEKREIS,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03359,Stade,03359,STADE,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03360,Uelzen,03360,UELZEN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03361,Verden,03361,VERDEN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03401,"Delmenhorst, Stadt",03401,"DELMENHORST,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03402,"Emden, Stadt",03402,"EMDEN,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03403,"Oldenburg (Oldb), Stadt",03403,"OLDENBURG(OLDENB),STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03404,"Osnabrück, Stadt",03404,"OSNABRUECK,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03405,"Wilhelmshaven, Stadt",03405,"WILHELMSHAVEN,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03451,Ammerland,03451,AMMERLAND,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03452,Aurich,03452,AURICH,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03453,Cloppenburg,03453,CLOPPENBURG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03454,Emsland,03454,EMSLAND,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03455,Friesland,03455,FRIESLAND,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03456,Grafschaft Bentheim,03456,GRAFSCHAFT BENTHEIM,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03457,Leer,03457,LEER,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03458,Oldenburg,03458,OLDENBURG(OLDENBURG),one-to-one,,Current administrative district corresponds to one KBA analysis region.
